prec,obama,romney,total_votes,county
1.0,678.0,300.0,1045.0,043
2.0,597.0,173.0,805.0,043
3.0,370.0,141.0,541.0,043
4.0,237.0,113.0,363.0,043
5.0,689.0,431.0,1173.0,043
6.0,209.0,106.0,334.0,043
7.0,211.0,71.0,292.0,043
8.0,265.0,13.0,288.0,043
9.0,523.0,19.0,548.0,043
10.0,223.0,56.0,297.0,043
11.0,642.0,460.0,1168.0,043
12.0,593.0,526.0,1162.0,043
13.0,535.0,350.0,933.0,043
14.0,280.0,25.0,313.0,043
15.0,820.0,28.0,858.0,043
16.0,71.0,49.0,128.0,043
17.0,118.0,66.0,190.0,043
18.0,170.0,144.0,353.0,043
19.0,179.0,22.0,208.0,043
20.0,524.0,39.0,566.0,043
21.0,138.0,121.0,264.0,043
22.0,147.0,133.0,289.0,043
23.0,103.0,96.0,210.0,043
24.0,243.0,51.0,299.0,043
25.0,645.0,72.0,744.0,043
26.0,203.0,37.0,246.0,043
27.0,69.0,46.0,122.0,043
28.0,191.0,302.0,508.0,043
29.0,189.0,15.0,212.0,043
30.0,297.0,342.0,673.0,043
31.0,380.0,435.0,862.0,043
32.0,164.0,200.0,377.0,043
33.0,587.0,614.0,1256.0,043
34.0,216.0,293.0,528.0,043
35.0,290.0,299.0,623.0,043
36.0,318.0,357.0,704.0,043
37.0,454.0,543.0,1050.0,043
38.0,365.0,406.0,816.0,043
39.0,551.0,731.0,1345.0,043
40.0,319.0,345.0,694.0,043
41.0,321.0,453.0,822.0,043
42.0,187.0,216.0,429.0,043
43.0,215.0,227.0,478.0,043
44.0,334.0,488.0,886.0,043
45.0,364.0,346.0,758.0,043
46.0,262.0,205.0,513.0,043
47.0,390.0,505.0,937.0,043
48.0,249.0,325.0,611.0,043
49.0,216.0,307.0,565.0,043
50.0,276.0,435.0,744.0,043
51.0,0.0,0.0,0.0,043
52.0,119.0,144.0,274.0,043
53.0,512.0,476.0,1044.0,043
54.0,451.0,373.0,867.0,043
55.0,390.0,405.0,829.0,043
56.0,270.0,155.0,448.0,043
57.0,215.0,277.0,519.0,043
58.0,524.0,758.0,1333.0,043
59.0,125.0,155.0,285.0,043
60.0,223.0,236.0,477.0,043
61.0,238.0,241.0,506.0,043
62.0,325.0,453.0,805.0,043
63.0,139.0,218.0,380.0,043
64.0,408.0,533.0,979.0,043
65.0,440.0,429.0,903.0,043
66.0,578.0,690.0,1327.0,043
67.0,480.0,376.0,906.0,043
68.0,462.0,466.0,965.0,043
69.0,407.0,504.0,955.0,043
70.0,214.0,205.0,435.0,043
71.0,220.0,181.0,423.0,043
72.0,430.0,552.0,1011.0,043
73.0,144.0,241.0,404.0,043
74.0,459.0,619.0,1118.0,043
75.0,163.0,206.0,381.0,043
76.0,508.0,457.0,1002.0,043
77.0,77.0,113.0,213.0,043
78.0,77.0,81.0,169.0,043
79.0,295.0,411.0,735.0,043
80.0,261.0,368.0,650.0,043
81.0,334.0,373.0,744.0,043
82.0,265.0,492.0,776.0,043
83.0,289.0,344.0,662.0,043
84.0,279.0,378.0,700.0,043
85.0,298.0,400.0,724.0,043
